area_code,area_name,Biomedical Engineers,Electrical Engineers,Management Analysts,Software Developers,median_gross_rent,median_earnings_all_ft,median_earnings_computer_math,median_earnings_engineering,median_earnings_life_physical_social_sci,metropolitan statistical area/micropolitan statistical area,cbsa,metro_name,state,unemployment_rate_2023
12420,"Austin-Round Rock-Georgetown, TX",,,,125000.0,1036074,754931,11464,20323,37603,12420,12420,"Austin-Round Rock-Georgetown, TX",TX,
14460,"Boston-Cambridge-Newton, MA-NH",118000.0,,,,1949953,1385260,24697,36434,111156,14460,14460,"Boston-Cambridge-Newton, MA-NH",MA-NH,
17460,"Cleveland-Elyria, OH",98000.0,104000.0,,118000.0,,,,,,,,,OH,
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",95000.0,,,,2349920,1661543,29800,33837,88901,33100,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",FL,
35620,"New York-Newark-Jersey City, NY-NJ-PA",,,112000.0,,7490498,5091387,103237,172104,323420,35620,35620,"New York-Newark-Jersey City, NY-NJ-PA",NY-NJ-PA,
41860,"San Francisco-Oakland-Berkeley, CA",,150000.0,,165000.0,1763465,1267440,25061,38465,72953,41860,41860,"San Francisco-Oakland-Berkeley, CA",CA,
42660,"Seattle-Tacoma-Bellevue, WA",,,,150000.0,1627693,1165606,14435,30652,65930,42660,42660,"Seattle-Tacoma-Bellevue, WA",WA,
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",,,108000.0,,2409575,1752403,47027,57080,92239,47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",DC-VA-MD-WV,
